customer_id,recency_days,frequency,monetary,first_order,country,channel,tenure_days,avg_order_value,r_score,f_score,m_score,rfm_score,segment
C50106,224,1,55.11,2024-05-22,Germany,Direct,224,55.11,2,1,1,4,Hibernating
C50111,162,1,530.8299999999999,2024-07-23,Netherlands,Referral,162,530.8299999999999,2,1,3,6,Hibernating
C50112,111,1,41.43,2024-09-12,Italy,Email,111,41.43,3,1,1,5,Needs Attention
C50113,22,1,613.81,2024-12-10,Germany,Organic Search,22,613.81,5,1,4,10,New / Promising
C50115,238,1,450.29,2024-05-08,Austria,Organic Search,238,450.29,2,1,3,6,Hibernating
C50116,32,2,595.64,2024-11-09,Germany,Organic Search,53,297.82,4,3,4,11,Loyal
C50118,331,1,805.7199999999999,2024-02-05,Netherlands,Paid Social,331,805.7199999999999,1,1,4,6,Can't Lose Them
C50119,618,1,74.17,2023-04-24,Italy,Paid Social,618,74.17,1,1,1,3,Hibernating
C50122,35,4,439.85,2024-09-01,France,Organic Search,122,109.9625,4,5,3,12,Loyal
C50123,109,1,116.54,2024-09-14,Netherlands,Referral,109,116.54,3,1,1,5,Needs Attention
C50125,27,2,798.03,2024-10-02,France,Organic Search,91,399.015,4,3,4,11,Loyal
C50126,13,2,474.58000000000004,2024-08-31,Germany,Paid Social,123,237.29000000000002,5,3,3,11,Loyal
C50127,244,4,465.75,2023-01-09,Germany,Paid Social,723,116.4375,2,5,3,10,At Risk
C50128,688,1,619.1899999999999,2023-02-13,France,Organic Search,688,619.1899999999999,1,1,4,6,Can't Lose Them
C50131,61,4,1125.24,2023-05-11,Germany,Email,601,281.31,3,5,5,13,Loyal
C50133,433,1,269.6,2023-10-26,Germany,Referral,433,269.6,1,1,2,4,Hibernating
C50134,146,3,1870.8400000000001,2023-09-12,Spain,Paid Social,477,623.6133333333333,2,4,5,11,At Risk
C50135,29,2,230.20000000000002,2024-06-20,Germany,Paid Social,195,115.10000000000001,4,3,2,9,Potential Loyal
C50137,18,5,651.46,2024-11-08,Germany,Email,54,130.292,5,5,4,14,Champions
C50138,6,9,2992.54,2024-05-30,Germany,Organic Search,216,332.50444444444446,5,5,5,15,Champions
C50141,7,2,194.64000000000001,2024-12-22,Spain,Paid Social,10,97.32000000000001,5,3,2,10,Potential Loyal
C50142,16,5,2004.5900000000001,2024-08-09,Germany,Direct,145,400.918,5,5,5,15,Champions
C50143,40,1,122.21000000000001,2024-11-22,Germany,Email,40,122.21000000000001,4,1,1,6,New / Promising
C50144,37,3,839.4699999999999,2024-03-01,Austria,Paid Social,306,279.8233333333333,4,4,4,12,Champions
C50147,212,2,301.65,2023-05-21,Austria,Paid Social,591,150.825,2,3,3,8,At Risk
C50148,123,4,2815.23,2024-01-10,France,Paid Social,357,703.8075,3,5,5,13,Loyal
C50150,82,5,1969.21,2023-01-19,Germany,Organic Search,713,393.842,3,5,5,13,Loyal
C50152,128,2,319.25,2024-08-19,Germany,Paid Social,135,159.625,3,3,3,9,Loyal
C50153,318,2,211.52,2023-12-21,Austria,Referral,377,105.76,1,3,2,6,At Risk
C50155,47,2,87.86,2024-03-14,Austria,Referral,293,43.93,4,3,1,8,New / Promising
C50156,327,1,122.2,2024-02-09,Austria,Paid Social,327,122.2,1,1,1,3,Hibernating
C50158,60,3,1151.26,2024-09-29,Germany,Email,94,383.75333333333333,3,4,5,12,Loyal
C50159,40,2,408.99,2023-09-27,Germany,Referral,462,204.495,4,3,3,10,Loyal
C50160,2,1,194.2,2024-12-30,France,Direct,2,194.2,5,1,2,8,New / Promising
C50162,96,3,441.34,2024-04-01,Spain,Organic Search,275,147.11333333333332,3,4,3,10,Loyal
C50169,36,1,108.41,2024-11-26,Germany,Organic Search,36,108.41,4,1,1,6,New / Promising
C50171,359,1,175.8,2024-01-08,Austria,Referral,359,175.8,1,1,2,4,Hibernating
C50172,129,3,1312.46,2023-10-19,France,Direct,440,437.4866666666667,3,4,5,12,Loyal
C50174,32,1,99.72,2024-11-30,Germany,Paid Social,32,99.72,4,1,1,6,New / Promising
C50175,16,1,52.83,2024-12-16,France,Organic Search,16,52.83,5,1,1,7,New / Promising
C50177,451,2,484.31,2023-05-13,Germany,Referral,599,242.155,1,3,3,7,At Risk
C50179,39,2,314.75,2023-09-05,Germany,Direct,484,157.375,4,3,3,10,Loyal
C50180,272,3,270.82000000000005,2023-12-01,Netherlands,Paid Social,397,90.27333333333335,1,4,2,7,At Risk
C50181,91,1,85.12,2024-10-02,Germany,Email,91,85.12,3,1,1,5,Needs Attention
C50182,148,1,82.93,2024-08-06,Germany,Referral,148,82.93,2,1,1,4,Hibernating
C50183,36,1,414.59,2024-11-26,Germany,Organic Search,36,414.59,4,1,3,8,New / Promising
C50185,81,3,1204.45,2024-06-24,Germany,Email,191,401.48333333333335,3,4,5,12,Loyal
C50186,26,2,1521.59,2024-11-26,Germany,Organic Search,36,760.795,4,3,5,12,Loyal
C50187,6,1,126.9,2024-12-26,Spain,Organic Search,6,126.9,5,1,1,7,New / Promising
C50188,36,1,86.08,2024-11-26,Spain,Direct,36,86.08,4,1,1,6,New / Promising
C50189,35,1,109.21,2024-11-27,Germany,Email,35,109.21,4,1,1,6,New / Promising
C50191,253,2,919.88,2024-02-28,France,Referral,308,459.94,2,3,4,9,At Risk
C50192,370,1,54.69,2023-12-28,Spain,Paid Social,370,54.69,1,1,1,3,Hibernating
C50193,87,1,32.89,2024-10-06,Germany,Referral,87,32.89,3,1,1,5,Needs Attention
C50194,1,2,751.0500000000001,2024-12-11,Germany,Direct,21,375.52500000000003,5,3,4,12,Loyal
C50196,40,1,70.78999999999999,2024-11-22,Germany,Referral,40,70.78999999999999,4,1,1,6,New / Promising
C50197,197,3,286.66,2023-01-08,Germany,Organic Search,724,95.55333333333334,2,4,2,8,At Risk
C50198,18,2,188.29,2024-10-30,Spain,Paid Social,63,94.145,5,3,2,10,Potential Loyal
C50199,58,2,876.3299999999999,2024-10-20,Spain,Paid Social,73,438.16499999999996,3,3,4,10,Loyal
C50200,177,3,161.04,2023-12-04,Germany,Direct,394,53.68,2,4,2,8,At Risk
C50201,124,1,367.47,2024-08-30,France,Organic Search,124,367.47,3,1,3,7,Needs Attention
C50202,9,4,928.4100000000001,2024-12-14,Germany,Paid Social,18,232.10250000000002,5,5,4,14,Champions
C50204,28,2,195.2,2024-07-18,France,Organic Search,167,97.6,4,3,2,9,Potential Loyal
C50205,162,3,744.29,2024-03-24,Germany,Referral,283,248.09666666666666,2,4,4,10,At Risk
C50206,168,2,1416.4,2023-05-20,Spain,Direct,592,708.2,2,3,5,10,At Risk
C50207,17,3,912.7700000000001,2024-09-14,Italy,Organic Search,109,304.2566666666667,5,4,4,13,Champions
C50209,57,3,579.94,2024-07-18,Netherlands,Direct,167,193.31333333333336,3,4,4,11,Loyal
C50211,33,2,546.85,2024-08-27,Germany,Organic Search,127,273.425,4,3,4,11,Loyal
C50214,93,2,118.59,2024-09-21,Germany,Email,102,59.295,3,3,1,7,Needs Attention
C50218,23,4,641.55,2024-11-11,Germany,Email,51,160.3875,5,5,4,14,Champions
C50220,294,1,987.92,2024-03-13,Germany,Email,294,987.92,1,1,5,7,Can't Lose Them
C50221,39,3,1539.2099999999998,2024-04-13,Germany,Paid Social,263,513.0699999999999,4,4,5,13,Champions
C50223,22,3,185.48,2024-11-08,Netherlands,Paid Social,54,61.82666666666666,5,4,2,11,Potential Loyal
C50224,644,1,558.36,2023-03-29,Italy,Paid Social,644,558.36,1,1,4,6,Can't Lose Them
C50227,113,1,44.12,2024-09-10,Germany,Referral,113,44.12,3,1,1,5,Needs Attention
C50230,225,3,838.94,2023-07-16,Germany,Organic Search,535,279.6466666666667,2,4,4,10,At Risk
C50231,267,3,1134.45,2023-04-04,Netherlands,Organic Search,638,378.15000000000003,1,4,5,10,At Risk
C50233,316,5,970.87,2023-12-18,Germany,Paid Social,380,194.174,1,5,5,11,At Risk
C50236,217,3,1260.5,2023-10-25,France,Organic Search,434,420.1666666666667,2,4,5,11,At Risk
C50238,15,2,372.9,2023-11-25,Austria,Referral,403,186.45,5,3,3,11,Loyal
C50240,100,2,824.8,2023-02-26,Spain,Referral,675,412.4,3,3,4,10,Loyal
C50244,135,1,17.47,2024-08-19,Germany,Referral,135,17.47,3,1,1,5,Needs Attention
C50249,141,3,495.45000000000005,2023-12-07,Germany,Direct,391,165.15,2,4,3,9,At Risk
C50250,23,2,218.91,2024-10-09,Germany,Email,84,109.455,5,3,2,10,Potential Loyal
C50251,373,1,502.62,2023-12-25,Germany,Paid Social,373,502.62,1,1,3,5,Hibernating
C50252,237,2,232.04,2023-06-21,France,Organic Search,560,116.02,2,3,2,7,At Risk
C50253,12,6,1871.05,2024-01-11,France,Direct,356,311.84166666666664,5,5,5,15,Champions
C50254,546,1,85.28,2023-07-05,Spain,Email,546,85.28,1,1,1,3,Hibernating
C50256,132,3,1204.04,2024-04-23,Germany,Organic Search,253,401.34666666666664,3,4,5,12,Loyal
C50257,14,4,854.74,2024-09-19,France,Referral,104,213.685,5,5,4,14,Champions
C50259,521,1,515.26,2023-07-30,France,Email,521,515.26,1,1,3,5,Hibernating
C50261,31,1,491.99,2024-12-01,Germany,Organic Search,31,491.99,4,1,3,8,New / Promising
C50265,47,8,1754.58,2023-06-30,Germany,Direct,551,219.3225,4,5,5,14,Champions
C50266,510,1,80.86,2023-08-10,Netherlands,Organic Search,510,80.86,1,1,1,3,Hibernating
C50268,149,8,2801.85,2023-06-17,Spain,Paid Social,564,350.23125,2,5,5,12,At Risk
C50269,186,1,124.45,2024-06-29,Germany,Direct,186,124.45,2,1,1,4,Hibernating
C50270,102,1,22.89,2024-09-21,Germany,Paid Social,102,22.89,3,1,1,5,Needs Attention
C50272,636,1,250.54,2023-04-06,France,Direct,636,250.54,1,1,2,4,Hibernating
C50273,24,1,34.31,2024-12-08,Germany,Organic Search,24,34.31,5,1,1,7,New / Promising
C50274,30,3,1429.3,2023-04-21,Austria,Email,621,476.43333333333334,4,4,5,13,Champions
C50277,209,3,2442.06,2023-03-02,Germany,Paid Social,671,814.02,2,4,5,11,At Risk
C50279,100,1,122.64,2024-09-23,Spain,Paid Social,100,122.64,3,1,1,5,Needs Attention
C50280,269,4,1430.35,2023-11-29,Germany,Organic Search,399,357.5875,1,5,5,11,At Risk
C50284,110,1,80.7,2024-09-13,Germany,Referral,110,80.7,3,1,1,5,Needs Attention
C50285,633,1,77.57,2023-04-09,France,Organic Search,633,77.57,1,1,1,3,Hibernating
C50286,50,3,403.71,2024-03-16,Austria,Email,291,134.57,4,4,3,11,Loyal
C50287,133,1,21.77,2024-08-21,Germany,Organic Search,133,21.77,3,1,1,5,Needs Attention
C50288,110,1,91.44,2024-09-13,Netherlands,Organic Search,110,91.44,3,1,1,5,Needs Attention
C50290,123,7,2976.82,2023-04-25,France,Referral,617,425.26000000000005,3,5,5,13,Loyal
C50291,258,4,489.69,2023-04-04,Germany,Organic Search,638,122.4225,2,5,3,10,At Risk
C50297,425,2,991.9300000000001,2023-11-01,Germany,Organic Search,427,495.96500000000003,1,3,5,9,At Risk
C50300,165,1,163.45000000000002,2024-07-20,Germany,Paid Social,165,163.45000000000002,2,1,2,5,Hibernating
C50301,168,3,2325.38,2023-12-21,Germany,Paid Social,377,775.1266666666667,2,4,5,11,At Risk
C50303,73,3,628.67,2023-03-29,Germany,Email,644,209.55666666666664,3,4,4,11,Loyal
C50304,122,2,286.0,2024-08-09,Austria,Referral,145,143.0,3,3,2,8,Potential Loyal
C50305,110,5,1160.59,2023-05-08,Germany,Email,604,232.118,3,5,5,13,Loyal
C50309,21,1,173.99,2024-12-11,Netherlands,Email,21,173.99,5,1,2,8,New / Promising
C50310,13,2,190.31,2023-09-05,Germany,Referral,484,95.155,5,3,2,10,Potential Loyal
C50311,283,2,770.43,2024-01-01,Austria,Organic Search,366,385.215,1,3,4,8,At Risk
C50312,258,3,1490.9,2023-05-27,Austria,Email,585,496.9666666666667,2,4,5,11,At Risk
C50313,130,1,21.33,2024-08-24,Austria,Referral,130,21.33,3,1,1,5,Needs Attention
C50314,21,1,86.11,2024-12-11,Germany,Organic Search,21,86.11,5,1,1,7,New / Promising
C50315,128,1,433.32,2024-08-26,Netherlands,Direct,128,433.32,3,1,3,7,Needs Attention
C50317,225,3,591.37,2023-04-09,Germany,Organic Search,633,197.12333333333333,2,4,4,10,At Risk
C50318,23,2,165.79,2024-11-23,Germany,Direct,39,82.895,5,3,2,10,Potential Loyal
C50320,187,2,364.2,2024-03-24,Germany,Paid Social,283,182.1,2,3,3,8,At Risk
C50321,165,4,355.36,2024-04-14,Netherlands,Paid Social,262,88.84,2,5,3,10,At Risk
C50322,11,5,1067.97,2024-06-05,Austria,Direct,210,213.594,5,5,5,15,Champions
C50323,565,1,281.58,2023-06-16,Germany,Paid Social,565,281.58,1,1,2,4,Hibernating
C50324,34,5,699.23,2023-07-11,France,Email,540,139.846,4,5,4,13,Champions
C50325,16,2,1271.2800000000002,2023-12-10,France,Referral,388,635.6400000000001,5,3,5,13,Loyal
C50331,32,3,629.82,2024-04-28,Germany,Paid Social,248,209.94000000000003,4,4,4,12,Champions
C50334,49,1,295.77,2024-11-13,France,Email,49,295.77,4,1,3,8,New / Promising
C50335,142,1,46.67,2024-08-12,Germany,Organic Search,142,46.67,2,1,1,4,Hibernating
C50337,197,4,407.96000000000004,2023-11-10,Austria,Paid Social,418,101.99000000000001,2,5,3,10,At Risk
C50344,27,5,2330.23,2023-08-03,Netherlands,Paid Social,517,466.046,4,5,5,14,Champions
C50345,175,1,560.9300000000001,2024-07-10,Spain,Email,175,560.9300000000001,2,1,4,7,Can't Lose Them
C50346,29,1,629.76,2024-12-03,Germany,Paid Social,29,629.76,4,1,4,9,New / Promising
C50347,334,2,93.02000000000001,2023-08-04,France,Organic Search,516,46.510000000000005,1,3,1,5,At Risk
C50349,3,2,358.0,2024-08-19,Germany,Paid Social,135,179.0,5,3,3,11,Loyal
C50351,252,2,776.94,2023-02-06,Germany,Referral,695,388.47,2,3,4,9,At Risk
C50352,199,1,445.88,2024-06-16,France,Email,199,445.88,2,1,3,6,Hibernating
C50354,10,2,1266.58,2024-12-19,Germany,Paid Social,13,633.29,5,3,5,13,Loyal
C50355,37,1,56.68,2024-11-25,Germany,Paid Social,37,56.68,4,1,1,6,New / Promising
C50357,121,2,1224.67,2024-07-13,Italy,Organic Search,172,612.335,3,3,5,11,Loyal
C50358,58,2,374.09000000000003,2024-10-17,Italy,Organic Search,76,187.04500000000002,3,3,3,9,Loyal
C50359,45,3,806.31,2024-05-09,Netherlands,Direct,237,268.77,4,4,4,12,Champions
C50362,10,7,2304.21,2024-09-05,Spain,Organic Search,118,329.17285714285714,5,5,5,15,Champions
C50363,486,1,55.6,2023-09-03,Germany,Referral,486,55.6,1,1,1,3,Hibernating
C50364,77,2,140.26,2024-05-07,Germany,Organic Search,239,70.13,3,3,2,8,Potential Loyal
C50365,152,3,1732.44,2024-05-15,Italy,Organic Search,231,577.48,2,4,5,11,At Risk
C50366,84,1,505.56,2024-10-09,Spain,Organic Search,84,505.56,3,1,3,7,Needs Attention
C50367,33,3,1256.04,2024-10-02,Germany,Email,91,418.68,4,4,5,13,Champions
C50370,301,2,187.19,2023-11-13,Germany,Organic Search,415,93.595,1,3,2,6,At Risk
C50372,119,2,864.4799999999999,2024-05-24,Germany,Email,222,432.23999999999995,3,3,4,10,Loyal
C50374,108,1,357.95000000000005,2024-09-15,France,Organic Search,108,357.95000000000005,3,1,3,7,Needs Attention
C50376,5,3,513.18,2024-07-20,Germany,Direct,165,171.05999999999997,5,4,3,12,Loyal
C50378,4,3,987.17,2024-12-18,Netherlands,Organic Search,14,329.0566666666667,5,4,5,14,Champions
C50380,12,1,73.32,2024-12-20,Germany,Paid Social,12,73.32,5,1,1,7,New / Promising
C50381,38,4,1549.03,2023-09-08,Netherlands,Organic Search,481,387.2575,4,5,5,14,Champions
C50383,120,2,629.9,2023-08-19,Germany,Direct,501,314.95,3,3,4,10,Loyal
C50384,214,1,98.36000000000001,2024-06-01,Germany,Paid Social,214,98.36000000000001,2,1,1,4,Hibernating
C50385,63,2,881.98,2024-09-24,Germany,Direct,99,440.99,3,3,4,10,Loyal
C50387,3,2,221.95,2024-08-01,France,Paid Social,153,110.975,5,3,2,10,Potential Loyal
C50388,336,1,15.34,2024-01-31,Germany,Organic Search,336,15.34,1,1,1,3,Hibernating
C50389,23,2,254.39,2023-11-19,Germany,Email,409,127.195,5,3,2,10,Potential Loyal
C50391,33,3,2091.7400000000002,2023-08-02,Germany,Paid Social,518,697.2466666666668,4,4,5,13,Champions
C50392,295,1,203.20000000000002,2024-03-12,Germany,Organic Search,295,203.20000000000002,1,1,2,4,Hibernating
C50394,127,5,916.5600000000001,2024-06-07,Germany,Paid Social,208,183.312,3,5,4,12,Loyal
C50395,28,1,233.09,2024-12-04,Germany,Organic Search,28,233.09,4,1,2,7,New / Promising
C50396,129,2,128.99,2024-07-02,Germany,Organic Search,183,64.495,3,3,2,8,Potential Loyal
C50397,171,1,655.57,2024-07-14,Germany,Direct,171,655.57,2,1,4,7,Can't Lose Them
C50399,187,2,270.82,2023-10-08,Germany,Paid Social,451,135.41,2,3,2,7,At Risk
C50400,334,1,516.7,2024-02-02,Germany,Paid Social,334,516.7,1,1,3,5,Hibernating
C50401,9,6,1536.3799999999999,2024-10-03,Italy,Paid Social,90,256.06333333333333,5,5,5,15,Champions
C50402,21,3,1326.32,2024-02-14,Spain,Email,322,442.1066666666666,5,4,5,14,Champions
C50404,75,4,839.3599999999999,2024-06-19,Germany,Paid Social,196,209.83999999999997,3,5,4,12,Loyal
C50405,512,1,158.12,2023-08-08,France,Email,512,158.12,1,1,2,4,Hibernating
C50406,132,4,1140.6,2023-06-17,Spain,Paid Social,564,285.15,3,5,5,13,Loyal
C50411,226,2,703.93,2023-10-05,Spain,Organic Search,454,351.965,2,3,4,9,At Risk
C50412,87,2,997.27,2024-09-06,Spain,Organic Search,117,498.635,3,3,5,11,Loyal
C50414,57,4,1495.1399999999999,2023-12-30,France,Email,368,373.78499999999997,3,5,5,13,Loyal
C50415,225,1,55.26,2024-05-21,Germany,Paid Social,225,55.26,2,1,1,4,Hibernating
C50416,405,1,810.31,2023-11-23,Netherlands,Organic Search,405,810.31,1,1,4,6,Can't Lose Them
C50417,26,1,131.92000000000002,2024-12-06,Spain,Organic Search,26,131.92000000000002,4,1,2,7,New / Promising
C50418,260,3,570.23,2023-02-26,France,Direct,675,190.07666666666668,2,4,4,10,At Risk
C50420,155,1,217.63,2024-07-30,Germany,Organic Search,155,217.63,2,1,2,5,Hibernating
C50421,34,3,1115.0,2024-06-08,Germany,Email,207,371.6666666666667,4,4,5,13,Champions
C50422,64,2,766.1,2024-07-08,Austria,Paid Social,177,383.05,3,3,4,10,Loyal
C50423,1,1,323.16999999999996,2024-12-31,Germany,Email,1,323.16999999999996,5,1,3,9,New / Promising
C50424,609,1,501.94,2023-05-03,Spain,Email,609,501.94,1,1,3,5,Hibernating
C50426,120,4,982.12,2023-08-28,Germany,Organic Search,492,245.53,3,5,5,13,Loyal
C50427,152,3,1144.93,2024-05-17,Germany,Paid Social,229,381.6433333333334,2,4,5,11,At Risk
C50428,3,1,44.1,2024-12-29,Germany,Direct,3,44.1,5,1,1,7,New / Promising
C50429,2,6,3059.45,2024-04-01,Germany,Organic Search,275,509.9083333333333,5,5,5,15,Champions
C50432,10,3,409.65,2024-10-23,Germany,Referral,70,136.54999999999998,5,4,3,12,Loyal
C50433,93,5,2569.0299999999997,2023-12-01,Germany,Email,397,513.8059999999999,3,5,5,13,Loyal
C50435,608,1,54.65,2023-05-04,Germany,Email,608,54.65,1,1,1,3,Hibernating
C50436,113,3,717.74,2023-05-28,Italy,Organic Search,584,239.24666666666667,3,4,4,11,Loyal
C50437,116,2,1504.36,2023-06-21,Germany,Email,560,752.18,3,3,5,11,Loyal
C50438,247,1,251.15999999999997,2024-04-29,Austria,Referral,247,251.15999999999997,2,1,2,5,Hibernating
C50439,385,1,15.91,2023-12-13,Austria,Direct,385,15.91,1,1,1,3,Hibernating
C50442,221,2,379.15,2023-06-27,Germany,Referral,554,189.575,2,3,3,8,At Risk
C50443,12,3,860.6500000000001,2024-11-29,France,Organic Search,33,286.8833333333334,5,4,4,13,Champions
C50447,34,1,695.3,2024-11-28,Germany,Paid Social,34,695.3,4,1,4,9,New / Promising
C50448,40,4,928.3100000000001,2023-11-21,Austria,Organic Search,407,232.07750000000001,4,5,4,13,Champions
