order_id,order_line,order_date,customer_id,product_id,quantity,unit_price,discount_pct,unit_cost,status
O203597,1,2023-09-22,C52387,P1022,2,124.65,0.0,97.23,completed
O205515,1,2023-09-24,C53752,P1015,1,234.42,0.0,182.85,completed
O200462,1,30/11/2024,C50331,P1037,2,42.0,10.0,28.94,completed
O204525,3,2024-12-01,C53032,P1038,1,22.72,30.0,20.13,completed
O205170,3,2024-11-10,C53510,P1015,1,222.7,5.0,182.85,completed
O203145,4,30/01/2023,C52071,P1059,1,22.43,0.0,10.77,completed
O203893,2,2023-07-14,C52572,P1074,1,79.32,0.0,51.56,completed
O201261,4,19/12/2024,C50821,P1114,1,9.53,20.0,6.67,completed
O204393,2,2023-11-07,C52941,P1040,2,61.55,10.0,42.4,completed
O202775,2,2024-12-03,C51850,P1112,1,22.1,,15.47,completed
O204654,3,2024-12-01,C53124,P1017,1,155.42,30.0,173.18,completed
O205680,2,2024-06-24,C53871,P1102,1,30.56,0.0,12.22,completed
O204612,3,2024-11-13,C53095,P1061,4,13.98,10.0,7.45,completed
O200453,1,2024-12-04,C50322,P1042,1,58.34,10.0,40.19,completed
O201203,3,2023-08-22,C50792,P1095,1,9.25,0.0,3.7,completed
O202663,1,2024-11-29,C51785,P1020,1,105.82,40.0,137.56,completed
O200871,2,09/12/2023,C50583,P1024,1,116.55,30.0,129.87,completed
O205756,2,2024-12-28,C53928,P1068,1,26.9,0.0,12.91,completed
O204549,2,2023-08-23,C53053,P1082,2,35.64,15.0,27.25,completed
O203951,4,"Nov 30, 2024",C52624,P1012,3,250.24,10.0,216.88,completed
O200673,3,14/09/2024,C50476,P1037,1,46.67,0.0,28.94,completed
O201360,1,2024-02-04,C50892,P1008,1,144.71,5.0,118.82,completed
O203831,1,2023-12-20,C52535,P1067,1,25.48,10.0,13.59,completed
O203974,1,2023-05-01,C52641,P1101,1,14.84,5.0,6.25,completed
O201676,2,2024-09-22,C51083,P1082,1,41.93,0.0,27.25,completed
O203793,3,2024-05-01,C52514,P1031,1,144.15,0.0,89.37,completed
O204473,4,2024-11-27,C52996,P1054,1,22.94,20.0,13.77,completed
O200696,1,2023-05-07,C50487,P1111,2,27.43,10.0,17.07,completed
O205411,2,2024-11-07,C53682,P1048,1,32.96,10.0,17.58,completed
O205588,1,2024-11-03,C53811,P1004,1,304.09,0.0,237.19,completed
O200687,1,26/11/2024,C50479,P1073,1,29.11,20.0,23.65,completed
O203412,1,2024-11-20,C52259,P1003,2,273.9,0.0,213.64,completed
O203073,1,2024-12-02,C52020,P1067,1,22.65,20.0,13.59,completed
O200321,1,07/02/2024,C50233,P1037,1,44.34,5.0,28.94,completed
O202268,2,28/11/2024,C51512,P1038,3,29.21,10.0,20.13,completed
O203220,1,"May 12, 2024",C52127,P1070,1,30.38,0.0,14.58,completed
O203344,1,2024-09-14,C52208,P1109,5,33.61,10.0,20.91,completed
O203537,1,2024-02-27,C52353,P1020,-1,158.72,10.0,137.56,returned
O203599,6,2024-09-08,C52389,P1052,1,44.0,,21.12,completed
O203483,4,2024-11-26,C52314,P1078,1,52.67,20.0,42.8,completed
O204501,3,2024-05-24,C53014,P1010,1,113.39,0.0,88.44,completed
O203795,2,2024-10-29,C52515,P1026,1,41.43,0.0,25.69,completed
O200049,4,2024-05-31,C50030,P1001,2,214.35,0.0,167.19,completed
O201547,3,06/08/2024,C51012,P1038,2,30.84,5.0,20.13,completed
O200930,1,06/11/2024,C50626,P1077,1,45.32,5.0,31.01,completed
O203145,3,2023-01-30,C52071,P1012,1,278.05,0.0,216.88,completed
O204517,1,2024-12-07,C53026,P1015,1,187.54,20.0,182.85,completed
O204573,1,2024-11-15,C53066,P1104,2,24.41,0.0,9.76,completed
O203596,1,2024-11-20,C52387,P1108,1,15.87,0.0,6.35,completed
O200776,1,08/03/2023,C50533,P1022,3,112.18,10.0,97.23,completed
O203597,2,2023-09-22,C52387,P1008,2,152.33,0.0,118.82,completed
O205063,1,2023-07-28,C53426,P1015,2,234.42,0.0,182.85,completed
O205781,1,2023-12-06,C53942,P1027,1,58.02,10.0,39.97,completed
O203301,2,2023-10-18,C52182,P1040,1,68.39,0.0,42.4,completed
O200915,2,16/11/2023,C50614,P1034,3,32.89,0.0,20.39,completed
O204997,1,2024-07-31,C53378,P1075,2,65.26,0.0,42.42,completed
O202433,2,23/12/2024,C51618,P1088,1,60.76,0.0,39.49,completed
O200701,3,2024-07-21,C50489,P1037,2,46.67,0.0,28.94,completed
O201507,4,2023-07-19,C50983,P1045,1,52.37,0.0,32.47,completed
O202181,4,"Aug 17, 2024",C51453,P1070,1,30.38,0.0,14.58,completed
O200993,1,2023-06-25,C50676,P1046,1,46.84,15.0,34.17,completed
O203330,2,06/02/2024,C52201,P1026,3,37.29,10.0,25.69,completed
O202188,5,2024-03-26,C51460,P1001,2,214.35,0.0,167.19,completed
O201150,2,"Jul 26, 2024",C50766,P1074,1,79.32,0.0,51.56,completed
O205594,1,"Nov 25, 2024",C53813,P1088,2,54.68,10.0,39.49,completed
O200247,1,2024-04-04,C50180,P1114,3,11.91,0.0,6.67,completed
O201044,1,2023-08-26,C50708,P1078,3,65.84,0.0,42.8,completed
O205381,1,2024-09-12,C53658,P1088,3,57.72,5.0,39.49,completed
O203092,2,2023-06-13,C52038,P1038,2,29.21,10.0,20.13,completed
O200052,1,2024-08-08,C50032,P1062,3,25.63,10.0,13.67,completed
O205751,1,2024-12-30,C53928,P1061,3,15.53,0.0,7.45,completed
O203985,2,2023-04-03,C52646,P1096,2,10.19,0.0,4.08,completed
O204144,3,2024-12-11,C52742,P1064,1,38.8,10.0,20.69,completed
O204983,1,2024-04-14,C53366,P1108,2,14.28,10.0,6.35,completed
O202346,2,2024-10-30,C51570,P1114,2,11.91,,6.67,completed
O202860,3,2024-04-20,C51900,P1060,1,51.2,0.0,24.58,completed
O205802,1,2024-07-18,C53957,P1057,2,29.26,0.0,14.04,completed
O203182,4,2024-06-17,C52099,P1010,1,113.39,0.0,88.44,completed
O200848,1,2024-12-18,C50572,P1087,1,41.95,10.0,30.3,completed
O202301,2,2024-11-15,C51544,P1079,2,85.12,0.0,55.33,completed
O204520,4,2024-12-15,C53030,P1032,2,24.19,40.0,,completed
O203474,2,2023-12-11,C52306,P1084,1,39.13,20.0,31.79,completed
O201739,1,2024-12-18,C51144,P1092,1,13.98,20.0,6.99,completed
O204140,1,2024-12-06,C52742,P1068,1,24.21,10.0,12.91,completed
O201772,2,2024-07-20,C51170,P1005,1,61.99,0.0,48.35,completed
O202580,1,29/11/2024,C51720,P1013,1,169.18,10.0,146.62,completed
O205605,2,2024-06-09,C53823,P1052,1,44.0,0.0,21.12,completed
O203480,1,2024-10-06,C52313,P1050,4,34.14,0.0,16.39,completed
O201731,1,2024-05-09,C51135,P1106,1,16.74,0.0,6.7,completed
O201002,3,2024-05-16,C50689,P1112,1,23.49,15.0,15.47,completed
O201455,1,2024-04-17,C50955,P1062,2,27.06,5.0,13.67,completed
O200628,1,27/06/2023,C50442,P1006,2,88.57,0.0,69.08,completed
O204658,2,20/07/2024,C53130,P1092,2,17.47,0.0,6.99,completed
O203033,1,2023-07-12,C51996,P1060,1,51.2,0.0,24.58,completed
O205235,1,2024-03-16,C53552,P1005,1,58.89,5.0,48.35,completed
O203978,2,2023-03-01,C52644,P1104,1,24.41,0.0,9.76,completed
O200188,2,"Dec 14, 2024",C50137,P1083,1,44.48,10.0,32.12,completed
O200299,4,2024-09-21,C50214,P1032,1,38.3,5.0,25.0,returned
O202459,1,2024-06-18,C51636,P1092,1,14.85,15.0,6.99,completed
O200968,1,2024-01-18,C50655,P1074,3,79.32,0.0,51.56,completed
O203532,1,2023-01-14,C52349,P1086,1,47.32,40.0,51.27,completed
O204660,3,2024-02-24,C53130,P1120,2,20.68,5.0,12.19,completed
O200996,1,19/05/2023,C50682,P1078,1,65.84,0.0,42.8,completed
O203277,1,2024-08-18,C52172,P1028,1,53.38,10.0,36.77,completed
O203825,2,25/12/2024,C52533,P1112,2,24.87,10.0,15.47,completed
O201026,5,2023-07-10,C50700,P1046,1,55.11,0.0,34.17,completed
O201173,2,2023-06-03,C50781,P1028,2,59.31,0.0,36.77,completed
O204559,1,2024-10-21,C53060,P1117,1,27.56,0.0,15.43,completed
O201909,1,27/11/2024,C51267,P1111,1,243.79999999999998,20.0,17.07,completed
O200508,4,2024-10-09,C50366,P1098,1,11.59,5.0,4.88,completed
O201888,2,2023-02-28,C51246,P1084,1,48.91,0.0,31.79,completed
O202088,2,2024-12-10,C51391,P1009,1,143.68,20.0,140.09,completed
O204145,4,"Aug 29, 2024",C52742,P1093,1,15.34,0.0,6.14,completed
O203842,2,2024-10-31,C52544,P1050,1,34.14,0.0,16.39,completed
O205095,2,2023-09-27,C53460,P1093,1,15.34,0.0,6.14,completed
O204969,1,2023-12-30,C53350,P1092,2,17.47,0.0,6.99,completed
O202941,1,2024-03-30,C51943,P1030,1,61.28,0.0,37.99,completed
O204531,1,"Dec 30, 2023",C53039,P1045,2,52.37,0.0,32.47,completed
O202001,2,"Oct 26, 2024",C51333,P1015,2,222.7,5.0,182.85,completed
O204304,1,2024-07-23,C52864,P1109,1,37.34,0.0,20.91,completed
O200302,1,2024-12-09,C50218,P1025,1,31.9,20.0,24.73,completed
O200348,2,2023-07-05,C50254,P1030,1,61.28,0.0,37.99,completed
O205256,3,2023-12-09,C53571,P1064,2,30.18,30.0,20.69,completed
O200510,4,2024-11-29,C50367,P1042,1,51.86,20.0,40.19,completed
O201053,4,2024-09-15,C50709,P1001,1,214.35,0.0,167.19,completed
O202991,2,"Dec 31, 2024",C51966,P1014,1,336.97,0.0,262.84,returned
O200912,3,"Nov 28, 2023",C50614,P1114,1,9.53,20.0,6.67,completed
O204349,1,2024-08-23,C52899,P1070,1,30.38,0.0,14.58,returned
O203850,1,2023-12-17,C52551,P1108,1,12.7,20.0,6.35,completed
O200410,1,2023-11-03,C50297,P1114,1,11.91,0.0,6.67,completed
O201394,1,2024-11-16,C50918,P1117,2,27.56,0.0,15.43,completed
O200426,3,2024-12-11,C50309,P1115,1,22.89,10.0,14.24,completed
O205588,3,2024-11-03,C53811,P1104,1,21.97,10.0,9.76,completed
O205334,1,2024-11-26,C53627,P1103,1,11.03,30.0,6.3,completed
O202778,2,2024-11-28,C51851,P1032,2,32.26,20.0,25.0,completed
O204406,2,2024-04-10,C52946,P1035,1,67.22,0.0,41.68,completed
O204031,1,2024-12-03,C52675,P1089,1,62.88,20.0,51.09,completed
O200546,1,"Aug 27, 2024",C50394,P1099,3,21.33,0.0,8.53,completed
O203866,1,30/08/2024,C52560,P1050,1,34.14,0.0,16.39,completed
O200492,1,2024-05-09,C50359,P1045,3,49.75,5.0,32.47,completed
O203329,1,2024-09-20,C52200,P1017,1,222.03,0.0,173.18,completed
O204965,1,2024-10-16,C53348,P1094,1,15.84,10.0,,completed
O205028,1,2024-09-12,C53398,P1062,3,28.48,0.0,13.67,returned
O203477,2,2024-10-31,C52311,P1099,4,21.33,0.0,8.53,completed
O204071,2,2024-12-22,C52707,P1100,2,12.02,5.0,5.06,completed
O200897,1,2024-07-23,C50602,P1114,1,11.91,0.0,,completed
O201435,2,2024-12-11,C50946,P1074,1,55.52,30.0,51.56,completed
O203232,4,2024-09-17,C52136,P1101,3,15.62,0.0,6.25,completed
O204249,2,2024-10-19,C52833,P1015,1,234.42,0.0,182.85,completed
O201950,2,2024-11-26,C51291,P1008,3,106.63,30.0,118.82,completed
O203274,3,2023-08-07,C52170,P1032,1,38.3,5.0,25.0,completed
O201092,1,2023-07-30,C50733,P1098,1,10.98,10.0,4.88,completed
O205839,2,2024-11-11,C53983,P1050,2,34.14,0.0,16.39,completed
O205431,1,2023-12-07,C53690,P1095,1,6.48,30.0,3.7,completed
O203158,2,2024-01-22,C52078,P1079,1,76.61,10.0,55.33,completed
O204936,4,2024-08-02,C53332,P1032,1,40.32,0.0,25.0,completed
O204423,2,2024-10-13,C52956,P1085,2,31.26,0.0,20.32,completed
O203477,3,2024-10-31,C52311,P1114,2,11.91,0.0,6.67,completed
O203351,1,2024-08-15,C52211,P1039,1,32.71,0.0,20.28,completed
O202807,2,2024-07-24,C51874,P1010,2,102.05,10.0,88.44,completed
O203154,2,2024-07-17,C52076,P1005,1,61.99,0.0,48.35,completed
O204276,1,2024-11-30,C52849,P1048,1,21.97,40.0,17.58,completed
O202129,1,2024-10-05,C51423,P1052,1,44.0,0.0,21.12,completed
O204708,3,03/07/2024,C53165,P1015,1,234.42,0.0,182.85,completed
O201207,3,23/11/2024,C50792,P1054,1,25.81,10.0,,completed
O202895,2,2024-04-05,C51915,P1062,1,28.48,0.0,13.67,completed
O200918,5,2024-08-26,C50616,P1110,4,10.34,0.0,5.79,completed
O203194,2,30/09/2024,C52105,P1008,1,144.71,5.0,118.82,returned
O200590,1,2024-10-08,C50421,P1114,1,11.31,5.0,6.67,completed
O201231,2,2024-08-09,C50806,P1088,1,54.68,10.0,39.49,completed
O204145,3,2024-08-29,C52742,P1080,1,50.9,0.0,33.09,completed
O200780,3,04/10/2024,C50535,P1049,2,40.46,10.0,21.58,completed
O202465,1,2024-07-29,C51641,P1082,2,39.83,5.0,27.25,completed
O204846,2,2024-11-07,C53264,P1019,3,293.87,0.0,229.22,completed
O203445,2,2024-11-27,C52287,P1040,1,54.71,20.0,42.4,completed
O203666,1,2024-08-10,C52433,P1029,1,51.62,15.0,37.65,completed
O200433,2,2024-04-18,C50312,P1096,1,9.17,10.0,4.08,completed
O202099,1,"Dec 10, 2024",C51400,P1079,2,59.58,30.0,55.33,completed
O202917,3,2023-11-25,C51928,P1092,4,13.98,20.0,6.99,completed
O203733,3,2024-07-22,C52471,P1052,2,44.0,0.0,21.12,completed
O202709,2,2024-11-16,C51816,P1111,1,30.48,0.0,17.07,completed
O202184,2,2024-12-28,C51454,P1034,3,32.89,0.0,20.39,completed
O204544,3,2024-09-05,C53050,P1098,1,11.59,5.0,4.88,completed
O202699,1,2024-04-30,C51810,P1114,1,10.72,10.0,6.67,completed
O200321,2,2024-02-07,C50233,P1102,1,30.56,0.0,12.22,completed
O204045,2,15/12/2024,C52690,P1062,3,17.09,40.0,13.67,completed
O204642,2,2024-09-26,C53118,P1102,1,30.56,0.0,12.22,completed
O202150,2,2023-12-04,C51433,P1015,1,210.98,,182.85,completed
O205756,1,2024-12-28,C53928,P1088,1,54.68,10.0,39.49,completed
O203877,2,2023-10-31,C52565,P1067,1,28.31,0.0,,completed
O204334,2,2023-03-27,C52888,P1114,1,11.91,0.0,6.67,completed
O204856,4,2024-08-01,C53273,P1072,1,19.89,0.0,9.55,returned
O200716,1,2024-08-24,C50496,P1015,3,234.42,0.0,182.85,completed
O204856,5,2024-08-01,C53273,P1117,1,27.56,0.0,15.43,completed
O200631,1,2024-11-29,C50443,P1008,1,91.4,40.0,118.82,completed
O204467,4,10/12/2023,C52987,P1017,3,133.22,40.0,173.18,completed
O200754,1,2024-08-06,C50516,P1026,1,41.43,0.0,25.69,completed
O205569,1,2023-06-02,C53791,P1023,3,355.1,0.0,276.98,completed
O201863,1,2024-08-03,C51225,P1027,2,54.8,15.0,39.97,completed
O203479,2,2024-11-19,C52311,P1068,1,26.9,0.0,12.91,completed
O201316,2,2023-06-16,C50862,P1055,1,25.46,5.0,12.86,completed
O201021,2,09/12/2024,C50699,P1024,1,149.85,10.0,129.87,completed
O202917,2,"Nov 25, 2023",C51928,P1023,1,319.59,10.0,276.98,completed
O203274,4,"Aug 07, 2023",C52170,P1042,1,64.82,0.0,40.19,completed
O203424,1,2023-07-13,C52266,P1034,1,32.89,0.0,20.39,returned
O202507,1,"May 19, 2023",C51670,P1032,1,40.32,0.0,25.0,completed
O202695,1,2024-12-21,C51806,P1015,1,234.42,0.0,182.85,completed
O200449,1,2024-06-05,C50322,P1105,1,11.88,5.0,5.0,completed
O205708,1,18/09/2024,C53893,P1096,1,10.19,0.0,4.08,completed
O200215,3,11/10/2024,C50150,P1020,1,158.72,10.0,137.56,completed
O202866,1,2024-11-24,C51901,P1013,1,150.38,20.0,146.62,completed
O203900,2,2024-08-25,C52576,P1015,1,210.98,10.0,182.85,completed
O200068,2,2023-10-05,C50045,P1018,1,106.98,0.0,83.44,completed
O201130,2,2023-01-04,C50758,P1031,4,100.9,30.0,89.37,completed
O204926,5,2024-03-17,C53323,P1112,1,26.25,5.0,15.47,completed
O205485,6,2023-05-18,C53725,P1005,1,58.89,5.0,48.35,completed
O202046,2,2023-05-20,C51369,P1101,1,13.28,15.0,6.25,completed
O202083,4,2024-05-26,C51386,P1054,2,28.68,0.0,13.77,completed
O204483,1,2024-01-29,C53000,P1015,1,234.42,0.0,182.85,completed
O202880,1,2024-10-24,C51908,P1005,2,61.99,0.0,48.35,completed
O202431,3,2024-12-26,C51618,P1062,5,25.63,10.0,13.67,completed
O201576,3,2023-06-04,C51037,P1032,1,40.32,0.0,25.0,completed
O202649,1,2023-06-06,C51772,P1050,2,32.43,5.0,16.39,completed
O204401,1,2023-08-19,C52945,P1044,1,55.48,0.0,34.4,completed
O204795,1,2023-08-05,C53229,P1088,3,57.72,5.0,39.49,completed
O205807,2,2023-03-18,C53963,P1105,1,12.51,0.0,5.0,completed
O203396,3,2023-10-08,C52238,P1039,1,31.07,5.0,20.28,completed
O201760,1,31/12/2024,C51162,P1051,1,37.72,0.0,18.11,completed
O205323,3,2024-06-30,C53617,P1081,1,77.57,0.0,50.42,completed
O204710,2,2024-02-27,C53166,P1006,1,88.57,0.0,69.08,completed
O204110,2,2024-11-13,C52731,P1065,1,45.61,0.0,21.89,completed
O204528,4,"Nov 25, 2024",C53036,P1074,1,71.39,10.0,51.56,completed
O200857,2,25/06/2024,C50579,P1024,1,158.17,5.0,129.87,completed
O204939,2,2024-10-05,C53334,P1083,1,49.42,0.0,32.12,completed
O202952,2,2024-06-13,C51948,P1001,1,214.35,0.0,167.19,completed
O205308,2,2023-05-13,C53608,P1098,1,12.2,0.0,4.88,completed
O201260,2,2024-01-04,C50820,P1050,2,23.9,30.0,16.39,completed
O202366,5,02/06/2024,C51575,P1120,1,20.68,5.0,12.19,
O201886,1,"Mar 04, 2024",C51241,P1101,1,14.06,10.0,6.25,completed
O202414,2,2024-12-11,C51605,P1091,1,14.23,40.0,9.49,completed
O205591,1,2024-10-01,C53812,P1061,1,13.98,10.0,7.45,completed
O203555,1,2024-06-15,C52363,P1059,1,22.43,0.0,10.77,completed
O200682,2,21/04/2024,C50478,P1033,1,38.24,0.0,23.71,completed
O204678,2,2023-11-03,C53145,P1019,2,279.18,5.0,229.22,completed
O205275,2,2024-12-14,C53587,P1029,1,54.66,10.0,37.65,completed
O204079,3,2024-01-10,C52713,P1055,2,21.44,20.0,12.86,completed
O201202,2,07/02/2023,C50792,P1114,2,11.91,0.0,6.67,completed
O201271,2,2024-12-17,C50829,P1035,3,53.78,20.0,41.68,completed
O205554,1,2024-09-30,C53780,P1013,1,159.78,15.0,146.62,completed
O200789,3,2024-12-04,C50538,P1016,1,67.8,40.0,88.14,completed
O204581,3,2024-06-26,C53068,P1094,1,17.6,0.0,7.04,completed
O203493,2,2023-07-09,C52321,P1080,1,50.9,0.0,33.09,completed
O204019,1,2024-06-28,C52666,P1094,1,17.6,0.0,7.04,completed
O201634,1,2024-11-02,C51063,P1072,4,19.89,0.0,9.55,completed
O202313,2,2024-06-15,C51554,P1054,3,28.68,0.0,13.77,completed
O205720,4,2024-08-25,C53901,P1089,1,78.6,0.0,51.09,completed
O201577,2,"Nov 08, 2023",C51038,P1067,2,28.31,0.0,13.59,completed
O202081,2,2024-10-03,C51386,P1013,1,178.58,5.0,146.62,completed
O202299,1,01/12/2023,C51542,P1107,1,11.19,10.0,4.97,completed
O205316,1,22/02/2024,C53613,P1032,2,40.32,0.0,25.0,completed
O201580,1,2023-12-04,C51038,P1108,1,14.28,10.0,6.35,completed
O204320,2,2024-08-27,C52875,P1067,3,28.31,0.0,13.59,completed
O204899,2,2024-11-02,C53305,P1059,1,22.43,0.0,10.77,completed
O203390,1,2023-10-15,C52236,P1119,1,49.18,10.0,30.6,completed
O202455,1,2024-06-06,C51634,P1062,2,28.48,,13.67,completed
O205071,2,"Mar 16, 2024",C53432,P1044,2,55.48,0.0,34.4,completed
O200780,2,04/10/2024,C50535,P1050,1,34.14,0.0,16.39,completed
O203334,1,2023-04-30,C52203,P1044,1,47.16,15.0,34.4,completed
O201745,5,03/09/2024,C51149,P1049,1,44.95,0.0,21.58,completed
O202613,1,2024-07-08,C51751,P1034,2,32.89,0.0,20.39,completed
O203690,2,2024-11-24,C52454,P1012,1,194.64,30.0,216.88,completed
O201176,2,2024-03-15,C50781,P1066,3,47.32,0.0,22.71,completed
O205068,1,22/06/2023,C53429,P1088,1,60.76,0.0,39.49,completed
O201530,1,2024-01-14,C50993,P1120,1,15.24,30.0,12.19,completed
O205541,1,2024-02-17,C53771,P1015,1,234.42,0.0,182.85,completed
O200457,1,2024-11-28,C50324,P1032,2,32.26,20.0,25.0,completed
O204525,2,2024-12-01,C53032,P1023,3,248.57,30.0,276.98,completed
O200366,1,2023-08-10,C50266,P1079,1,80.86,5.0,55.33,completed
O205661,3,2024-11-11,C53860,P1085,1,31.26,0.0,20.32,completed
O205743,4,13/10/2024,C53919,P1038,2,32.46,0.0,20.13,completed
O202497,5,12/06/2024,C51663,P1074,1,79.32,0.0,51.56,completed
O205752,1,2024-12-28,C53928,P1037,1,46.67,0.0,28.94,completed
O204633,3,2024-08-22,C53111,P1087,1,46.61,0.0,30.3,returned
O204518,1,2023-12-02,C53027,P1019,2,264.48,10.0,229.22,completed
O205814,2,11/11/2023,C53965,P1110,3,10.34,0.0,5.79,completed
O203664,1,2024-11-23,C52432,P1058,4,45.42,30.0,31.15,completed
O201271,3,2024-12-17,C50829,P1019,1,205.71,30.0,229.22,completed
O204630,2,2024-06-29,C53107,P1080,1,50.9,0.0,33.09,completed
O202522,2,2024-12-23,C51678,P1062,1,25.63,10.0,13.67,completed
O203272,2,27/09/2023,C52170,P1021,2,163.75,0.0,127.73,completed
O201254,1,2024-01-17,C50817,P1054,3,28.68,0.0,13.77,completed
O200937,3,2024-10-19,C50631,P1015,2,234.42,0.0,182.85,completed
O202565,4,2024-07-26,C51712,P1101,1,15.62,0.0,6.25,returned
O203903,2,2023-10-30,C52578,P1068,2,26.9,0.0,12.91,completed
O204429,2,2024-10-24,C52958,P1114,2,11.31,5.0,6.67,completed
O204192,2,2024-11-17,C52777,P1059,1,22.43,0.0,10.77,completed
O201673,1,16/04/2023,C51080,P1058,1,55.16,15.0,31.15,completed
O203008,2,2024-03-04,C51981,P1031,1,136.94,5.0,89.37,completed
O202597,2,24/11/2024,C51733,P1046,2,38.58,30.0,34.17,completed
O204934,1,2024-05-13,C53330,P1048,1,36.62,0.0,17.58,completed
O205567,1,2023-02-27,C53790,P1104,1,24.41,0.0,9.76,completed
O204480,1,2024-11-04,C52998,P1060,2,51.2,0.0,24.58,completed
O204153,3,18/09/2023,C52749,P1112,1,27.63,0.0,15.47,completed
O202692,2,26/05/2024,C51803,P1114,2,11.91,0.0,6.67,completed
O203182,2,17/06/2024,C52099,P1116,1,18.83,0.0,10.54,completed
O204808,4,"Oct 09, 2023",C53244,P1032,1,40.32,0.0,25.0,completed
O201363,1,2023-09-14,C50892,P1028,1,59.31,0.0,36.77,completed
O204938,2,"Aug 31, 2024",C53333,P1050,3,34.14,0.0,16.39,completed
O200724,1,06/08/2023,C50500,P1068,1,26.9,0.0,12.91,completed
O201048,1,2024-11-30,C50708,P1043,2,24.79,30.0,21.96,completed
O201523,1,14/03/2023,C50986,P1010,2,113.39,0.0,88.44,completed
O201153,2,2024-10-26,C50766,P1004,4,304.09,0.0,237.19,completed
O200195,1,2024-11-26,C50138,P1098,1,8.54,30.0,4.88,completed
O201545,1,2024-05-09,C51010,P1051,1,37.72,0.0,18.11,completed
O205182,3,2024-12-22,C53516,P1111,3,30.48,0.0,17.07,completed
O205286,1,2024-12-07,C53592,P1111,1,24.38,20.0,17.07,completed
O201299,1,2024-01-09,C50848,P1036,3,69.5,20.0,53.87,completed
O202853,3,2024-11-27,C51899,P1056,1,14.9,40.0,11.92,completed
O201408,3,2024-08-24,C50925,P1108,1,15.08,,6.35,returned
O201844,2,2024-08-22,C51217,P1062,2,28.48,0.0,13.67,completed
O200184,1,2024-11-08,C50137,P1117,1,27.56,0.0,15.43,completed
O201239,1,2024-07-28,C50810,P1036,1,73.85,15.0,53.87,completed
O204386,2,2024-11-23,C52937,P1112,2,24.87,10.0,15.47,completed
O202031,1,"Nov 23, 2023",C51355,P1015,1,210.98,10.0,182.85,completed
O202313,1,15/06/2024,C51554,P1055,3,26.8,0.0,12.86,completed
O205427,3,2024-07-29,C53688,P1013,1,187.98,0.0,146.62,completed
O203424,1,2023-07-13,C52266,P1034,1,32.89,0.0,20.39,returned
O205353,2,2024-11-30,C53637,P1032,3,24.19,40.0,25.0,completed
O200835,1,2024-03-22,C50564,P1044,3,52.71,5.0,34.4,completed
O205478,1,2024-05-07,C53718,P1048,1,36.62,0.0,17.58,returned
O203684,2,2024-12-22,C52446,P1088,1,60.76,0.0,39.49,completed
O203564,1,2024-12-13,C52364,P1023,1,248.57,30.0,276.98,completed
