customer_id,signup_date,country,acquisition_channel,age
C50057,2021-12-12,Austria,Paid Social,37.0
C50058,2023-08-26,Italy,Organic Search,25.0
C50059,2023-07-30,Germany,Paid Social,41.0
C50060,2024-08-16,Germany,Referral,38.0
C50061,2023-05-25,Germany,Organic Search,47.0
C50062,2023-02-08,France,Email,51.0
C50063,2023-12-27,Germany,Email,44.0
C50064,2022-08-12,Italy,Paid Social,48.0
C50065,2021-12-23,Netherlands,Direct,34.0
C50066,2023-06-14,France,Direct,72.0
C50067,2023-03-25,Austria,Paid Social,23.0
C50068,2022-06-15,Germany,Organic Search,32.0
C50069,2023-01-14,Austria,Organic Search,49.0
C50070,2023-01-12,Germany,Organic Search,47.0
C50071,2022-11-16,Netherlands,Paid Social,
C50072,2023-01-31,Italy,Direct,46.0
C50073,2024-02-17,Austria,Direct,18.0
C50074,2022-09-29,Spain,Organic Search,57.0
C50075,2024-11-13,Germany,Paid Social,36.0
C50076,2024-10-13,Spain,Organic Search,53.0
C50077,2023-06-18,France,Paid Social,18.0
C50078,2022-11-17,Netherlands,Organic Search,41.0
C50079,2023-08-26,Germany,Direct,31.0
C50080,2024-08-07,Germany,Direct,45.0
C50081,2024-01-11,France,Organic Search,
C50082,2024-06-23,Germany,Email,42.0
C50083,2023-08-22,Austria,Email,25.0
C50084,2023-12-20,Spain,Referral,37.0
C50085,2022-09-16,Italy,Paid Social,36.0
C50086,2024-04-11,GERMANY,Organic Search,44.0
C50087,2022-04-23,Italy,Email,50.0
C50088,2024-02-27,  Germany ,Organic Search,40.0
C50089,2024-08-19,France,Email,23.0
C50090,2021-12-07,SPAIN,Organic Search,39.0
C50091,2023-11-28,Germany,Email,
C50092,2021-09-17,Germany,Referral,58.0
C50093,2024-04-01,Germany,Organic Search,18.0
C50094,2021-08-23,France,Paid Social,39.0
C50095,2024-11-01,Austria,Referral,
C50096,2021-12-18,Germany,Organic Search,36.0
C50097,2024-11-23,Germany,Email,32.0
C50098,2024-06-19,France,Email,35.0
C50099,2023-11-04,Germany,Paid Social,45.0
C50100,2024-05-31,Austria,Referral,24.0
C50101,2024-06-13,Italy,Paid Social,
C50102,2024-11-10,DE,Email,37.0
C50103,2022-07-21,Spain,Organic Search,
C50104,2023-10-31,France,Organic Search,51.0
C50105,2021-09-17,SPAIN,Organic Search,19.0
C50106,2023-11-30,Germany,Direct,31.0
C50107,2022-02-24,Germany,Direct,31.0
C50108,2023-10-01,Netherlands,Referral,64.0
C50109,2023-10-10,Germany,Organic Search,30.0
C50110,2023-05-29,Spain,Paid Social,18.0
C50111,2023-08-10,  Netherlands ,Referral,31.0
C50112,2024-05-12,Italy,Email,43.0
C50113,2024-06-18,Germany,Organic Search,47.0
C50114,2023-07-02,France,Direct,65.0
C50115,2023-11-11,Austria,Organic Search,55.0
C50116,2024-10-27,Germany,Organic Search,40.0
C50117,2021-11-11,France,Direct,27.0
C50118,2021-11-05,Netherlands,Paid Social,
C50119,2021-08-31,Italy,Paid Social,34.0
C50120,2024-01-17,Austria,Email,30.0
C50121,2023-03-27,GERMANY,Direct,
C50122,2024-05-23,France,Organic Search,
C50123,2024-02-01,Netherlands,Referral,32.0
C50124,2022-11-25,Germany,Paid Social,35.0
C50125,2024-09-25,France,Organic Search,47.0
C50126,2024-05-10,Germany,Paid Social,33.0
C50127,2022-08-18,  Germany ,Paid Social,23.0
C50128,2023-01-09,France,Organic Search,19.0
C50129,2022-10-27,Germany,Paid Social,
C50130,2022-01-28,Netherlands,Email,
C50131,2022-01-09,Germany,Email,
C50132,2024-11-01,Austria,Email,32.0
C50133,2023-04-22,Germany,Referral,43.0
C50134,2023-02-06,Spain,Paid Social,55.0
C50135,2024-04-05,Germany,Paid Social,29.0
C50136,2023-09-16,France,Paid Social,39.0
C50137,2024-11-01,  Germany ,Email,49.0
C50138,2024-05-29,Germany,Organic Search,29.0
C50139,2023-06-16,France,Paid Social,38.0
C50140,2023-01-27,Spain,Organic Search,
C50141,2024-12-19,Spain,Paid Social,22.0
C50142,2024-03-23,Germany,Direct,40.0
C50143,2024-11-15,Germany,Email,38.0
C50144,2021-11-08,Austria,Paid Social,45.0
C50145,2024-08-09,  Netherlands ,Email,24.0
C50146,2023-12-24,  Germany ,Email,38.0
C50147,2021-11-16,Austria,Paid Social,55.0
C50148,2023-10-29,France,Paid Social,63.0
C50149,2024-02-18,Netherlands,Email,53.0
C50150,2021-02-09,Germany,Organic Search,24.0
C50151,2023-05-14,France,Paid Social,43.0
C50152,2024-07-14,Germany,Paid Social,32.0
C50153,2022-09-27,Austria,Referral,41.0
C50154,2023-05-20,Germany,Direct,29.0
C50155,2023-04-28,Austria,Referral,18.0
C50156,2022-10-07,Austria,Paid Social,34.0
C50157,2024-10-15,Austria,Organic Search,47.0
C50158,2024-05-30,Germany,Email,41.0
C50159,2021-10-22,GERMANY,Referral,43.0
C50160,2024-12-29,France,Direct,41.0
C50161,2024-09-06,Netherlands,Referral,43.0
C50162,2022-09-09,Spain,Organic Search,44.0
C50163,2024-07-26,Germany,Email,35.0
C50164,2021-10-13,Spain,Direct,39.0
C50165,2024-12-31,Germany,Email,59.0
C50166,2024-01-26,Germany,Email,40.0
C50167,2024-01-08,Germany,Paid Social,39.0
C50168,2021-09-06,Austria,Email,39.0
C50169,2024-09-24,Germany,Organic Search,35.0
C50170,2021-04-01,  Germany ,Organic Search,33.0
C50171,2022-06-30,Austria,Referral,
C50172,2021-12-30,France,Direct,32.0
C50173,2024-05-25,Germany,Direct,36.0
C50174,2022-04-15,Germany,Paid Social,29.0
C50175,2024-10-07,France,Organic Search,39.0
C50176,2024-01-15,Germany,Organic Search,45.0
C50177,2021-04-21,Germany,Referral,35.0
C50178,2021-01-18,  NETHERLANDS ,Email,18.0
C50179,2021-06-02,Germany,Direct,45.0
C50180,2023-11-18,NETHERLANDS,Paid Social,39.0
C50181,2024-06-20,Germany,Email,26.0
C50182,2022-06-26,Germany,Referral,47.0
C50183,2024-08-08,Germany,Organic Search,21.0
C50184,2021-06-17,Germany,Direct,51.0
C50185,2024-06-19,Germany,Email,37.0
C50186,2024-10-24,GERMANY,Organic Search,18.0
C50187,2024-05-20,Spain,Organic Search,40.0
C50188,2024-03-02,Spain,Direct,33.0
C50189,2024-07-27,Germany,Email,31.0
C50190,2021-05-02,FRANCE,Referral,29.0
C50191,2022-04-22,France,Referral,36.0
C50192,2021-11-22,Spain,Paid Social,32.0
C50193,2023-07-18,Germany,Referral,18.0
C50194,2024-04-22,Germany,Direct,53.0
C50195,2023-12-16,Germany,Organic Search,35.0
C50196,2024-08-09,Germany,Referral,29.0
C50197,2022-01-23,Germany,Organic Search,24.0
C50198,2024-04-10,Spain,Paid Social,47.0
C50199,2022-04-06,Spain,Paid Social,22.0
C50200,2022-08-19,DE,Direct,40.0
C50201,2024-03-15,France,Organic Search,31.0
C50202,2024-12-13,Germany,Paid Social,32.0
C50203,2023-11-25,France,Email,25.0
C50204,2021-06-10,France,Organic Search,31.0
C50205,2023-11-30,Germany,Referral,38.0
C50206,2021-05-08,Spain,Direct,41.0
C50207,2024-09-11,Italy,Organic Search,29.0
C50208,2024-03-14,Netherlands,Organic Search,
C50209,2022-02-27,Netherlands,Direct,49.0
C50210,2021-09-09,France,Organic Search,18.0
C50211,2022-03-19,Germany,Organic Search,38.0
C50212,2024-12-13,Germany,Direct,27.0
C50213,2023-05-20,Netherlands,Direct,25.0
C50214,2024-06-02,GERMANY,Email,41.0
C50215,2023-12-24,Spain,Email,31.0
C50216,2023-10-10,France,Direct,23.0
C50217,2022-01-03,Germany,Email,54.0
C50218,2024-11-10,  GERMANY ,Email,
C50219,2022-10-06,Italy,Referral,18.0
C50220,2023-10-16,Germany,Email,20.0
C50221,2024-03-04,Germany,Paid Social,45.0
C50222,2024-01-07,Germany,Paid Social,35.0
C50223,2024-11-05,Netherlands,Paid Social,56.0
C50224,2022-01-10,Italy,Paid Social,45.0
C50225,2023-07-23,Germany,Paid Social,42.0
C50226,2023-03-07,Spain,Paid Social,26.0
C50227,2023-06-09,Germany,Referral,44.0
C50228,2021-11-10,Netherlands,Paid Social,23.0
C50229,2021-12-11,Germany,Organic Search,54.0
C50230,2022-08-30,DE,Organic Search,
C50231,2022-10-12,Netherlands,Organic Search,28.0
C50232,2023-04-09,France,Referral,48.0
C50233,2023-11-24,Germany,Paid Social,65.0
C50234,2023-12-22,Spain,Organic Search,35.0
C50235,2023-03-18,Italy,Referral,45.0
C50236,2023-03-13,France,Organic Search,
C50237,2022-05-20,Netherlands,Organic Search,39.0
C50238,2023-10-29,Austria,Referral,20.0
C50239,2022-10-31,GERMANY,Email,38.0
C50240,2021-04-21,Spain,Referral,39.0
C50241,2023-03-27,Germany,Referral,60.0
C50242,2023-06-09,Austria,Direct,18.0
C50243,2022-06-03,Germany,Organic Search,35.0
C50244,2023-10-10,Germany,Referral,53.0
C50245,2023-10-02,France,Email,35.0
C50246,2024-03-06,France,Organic Search,36.0
C50247,2024-01-06,Spain,Direct,28.0
C50248,2024-01-11,Italy,Paid Social,27.0
C50249,2022-10-30,Germany,Direct,18.0
C50250,2024-06-05,Germany,Email,30.0
C50251,2023-09-12,Germany,Paid Social,26.0
C50252,2023-04-13,France,Organic Search,39.0
C50253,2023-12-12,France,Direct,29.0
C50254,2023-01-04,Spain,Email,32.0
C50255,2023-07-28,Austria,Organic Search,33.0
C50256,2024-04-13,Germany,Organic Search,37.0
C50257,2024-09-14,France,Referral,32.0
C50258,2024-10-17,Netherlands,Organic Search,25.0
C50259,2023-07-17,France,Email,39.0
C50260,2023-08-07,Germany,Email,51.0
C50261,2024-06-18,Germany,Organic Search,40.0
C50262,2022-10-27,Germany,Email,31.0
C50263,2024-07-27,Germany,Organic Search,37.0
C50264,2023-07-05,Austria,Direct,18.0
C50265,2021-11-03,Germany,Direct,36.0
C50266,2021-07-24,Netherlands,Organic Search,33.0
C50267,2024-07-31,FRANCE,Paid Social,27.0
C50268,2021-06-13,Spain,Paid Social,29.0
C50269,2022-09-04,Germany,Direct,33.0
C50270,2022-11-26,Germany,Paid Social,50.0
C50271,2022-02-27,Germany,Email,51.0
C50272,2022-10-26,France,Direct,27.0
C50273,2024-04-19,Germany,Organic Search,32.0
C50274,2021-02-17,  Austria ,Email,32.0
C50275,2024-07-16,Germany,Organic Search,48.0
C50276,2024-08-15,Germany,Email,40.0
C50277,2023-01-21,GERMANY,Paid Social,
C50278,2022-01-20,  Austria ,Direct,44.0
C50279,2023-11-12,Spain,Paid Social,
C50280,2021-11-11,DE,Organic Search,
C50281,2023-01-10,France,Referral,38.0
C50282,2024-11-22,AUSTRIA,Referral,28.0
C50283,2024-12-27,  Netherlands ,Email,35.0
C50284,2024-05-20,Germany,Referral,53.0
C50285,2022-10-21,France,Organic Search,33.0
C50286,2024-02-19,Austria,Email,49.0
C50287,2024-03-10,Germany,Organic Search,30.0
C50288,2023-02-12,Netherlands,Organic Search,29.0
C50289,2023-12-29,France,Direct,46.0
C50290,2021-02-04,France,Referral,28.0
C50291,2022-05-05,Germany,Organic Search,48.0
C50292,2023-08-13,DE,Organic Search,42.0
C50293,2022-02-09,Spain,Direct,28.0
C50294,2022-02-13,Germany,Organic Search,37.0
C50295,2024-07-25,Germany,Organic Search,31.0
C50296,2024-12-21,Germany,Organic Search,42.0
C50297,2023-09-20,Germany,Organic Search,61.0
C50298,2024-07-28,Italy,Paid Social,34.0
C50299,2024-12-22,France,Direct,44.0
C50300,2021-12-27,Germany,Paid Social,38.0
C50301,2023-05-06,Germany,Paid Social,38.0
C50302,2023-02-19,Italy,Referral,36.0
C50303,2021-08-13,Germany,Email,28.0
C50304,2024-05-03,Austria,Referral,42.0
C50305,2023-04-17,Germany,Email,35.0
C50306,2023-06-03,  Germany ,Email,27.0
C50307,2022-01-14,Netherlands,Email,
C50308,2022-03-14,Germany,Referral,39.0
C50309,2024-10-04,Netherlands,Email,35.0
C50310,2021-05-15,Germany,Referral,54.0
C50311,2022-06-16,  Austria ,Organic Search,18.0
C50312,2022-09-22,Austria,Email,53.0
C50313,2023-06-30,Austria,Referral,27.0
C50314,2023-10-26,Germany,Organic Search,41.0
C50315,2023-07-04,NETHERLANDS,Direct,31.0
C50316,2021-08-23,Italy,Organic Search,27.0
C50317,2022-07-04,Germany,Organic Search,
C50318,2024-08-02,Germany,Direct,60.0
C50319,2023-12-25,  Austria ,Organic Search,35.0
C50320,2024-01-07,Germany,Paid Social,42.0
C50321,2024-01-31,Netherlands,Paid Social,39.0
C50322,2024-05-11,Austria,Direct,
C50323,2021-06-19,Germany,Paid Social,18.0
C50324,2023-01-13,France,Email,43.0
C50325,2023-08-31,France,Referral,29.0
C50326,2022-12-02,Germany,Email,18.0
C50327,2024-08-03,Spain,Direct,34.0
C50328,2023-06-20,Germany,Referral,60.0
C50329,2024-05-17,Germany,Paid Social,30.0
C50330,2024-08-10,Spain,Direct,47.0
C50331,2023-07-18,Germany,Paid Social,52.0
C50332,2024-10-06,Spain,Organic Search,38.0
C50333,2023-10-27,GERMANY,Organic Search,39.0
C50334,2024-08-09,France,Email,18.0
C50335,2022-12-05,Germany,Organic Search,29.0
C50336,2023-07-11,Netherlands,Email,49.0
C50337,2023-08-21,Austria,Paid Social,39.0
C50338,2021-10-10,Spain,Paid Social,42.0
C50339,2023-02-27,Italy,Organic Search,40.0
C50340,2024-10-14,Netherlands,Referral,64.0
C50341,2023-12-17,Austria,Paid Social,
C50342,2022-03-08,France,Organic Search,57.0
C50343,2022-12-03,Spain,Paid Social,40.0
C50344,2022-04-03,Netherlands,Paid Social,58.0
C50345,2021-03-20,Spain,Email,23.0
C50346,2024-10-24,Germany,Paid Social,40.0
C50347,2023-05-06,France,Organic Search,33.0
C50348,2022-10-16,Austria,Direct,40.0
C50349,2023-11-10,DE,Paid Social,53.0
C50350,2021-01-25,  Germany ,Organic Search,43.0
C50351,2022-08-30,DE,Referral,53.0
C50352,2024-03-07,France,Email,30.0
C50353,2023-12-21,Germany,Email,28.0
C50354,2024-12-14,GERMANY,Paid Social,38.0
C50355,2023-12-05,Germany,Paid Social,38.0
C50356,2023-06-13,Netherlands,Paid Social,36.0
C50357,2024-05-09,Italy,Organic Search,26.0
C50358,2024-09-30,Italy,Organic Search,52.0
C50359,2024-03-26,  Netherlands ,Direct,34.0
C50360,2024-11-27,Netherlands,Email,55.0
C50361,2024-05-31,Germany,Paid Social,38.0
C50362,2024-08-25,Spain,Organic Search,46.0
C50363,2021-10-30,GERMANY,Referral,45.0
C50364,2024-04-08,DE,Organic Search,28.0
C50365,2023-04-25,Italy,Organic Search,42.0
C50366,2023-09-16,Spain,Organic Search,61.0
C50367,2024-01-13,Germany,Email,41.0
C50368,2024-12-03,DE,Email,49.0
C50369,2024-12-17,France,Organic Search,
C50370,2022-09-16,Germany,Organic Search,42.0
C50371,2024-04-10,Germany,Email,40.0
C50372,2024-04-27,Germany,Email,45.0
C50373,2022-12-14,France,Email,47.0
C50374,2021-11-20,France,Organic Search,22.0
C50375,2021-05-05,France,Email,41.0
C50376,2024-05-26,Germany,Direct,36.0
C50377,2023-06-29,Italy,Email,
C50378,2024-12-18,Netherlands,Organic Search,54.0
C50379,2023-05-28,Spain,Email,29.0
C50380,2024-12-11,Germany,Paid Social,21.0
C50381,2023-03-17,Netherlands,Organic Search,48.0
C50382,2024-06-12,Spain,Organic Search,21.0
C50383,2021-08-24,Germany,Direct,18.0
C50384,2023-09-19,Germany,Paid Social,49.0
C50385,2024-06-20,Germany,Direct,40.0
C50386,2024-10-21,Germany,Paid Social,44.0
C50387,2024-07-12,France,Paid Social,33.0
C50388,2021-04-23,Germany,Organic Search,21.0
C50389,2023-01-21,Germany,Email,24.0
C50390,2021-05-26,Netherlands,Organic Search,35.0
C50391,2021-10-19,Germany,Paid Social,23.0
C50392,2024-02-06,Germany,Organic Search,42.0
C50393,2024-03-18,Netherlands,Paid Social,32.0
C50394,2024-05-22,Germany,Paid Social,40.0
C50395,2024-08-24,Germany,Organic Search,40.0
C50396,2024-04-16,Germany,Organic Search,43.0
C50397,2024-06-19,Germany,Direct,44.0
C50398,2021-05-26,France,Organic Search,34.0
C50399,2022-06-19,Germany,Paid Social,40.0
C50400,2023-12-07,Germany,Paid Social,41.0
C50401,2024-08-16,Italy,Paid Social,18.0
C50402,2021-01-15,SPAIN,Email,46.0
C50403,2023-07-31,Germany,Organic Search,40.0
C50404,2024-02-08,Germany,Paid Social,45.0
C50405,2021-04-03,France,Email,23.0
C50406,2023-03-03,Spain,Paid Social,34.0
C50407,2024-09-23,Austria,Direct,25.0
C50408,2024-02-01,Germany,Direct,47.0
C50409,2022-06-24,Germany,Organic Search,21.0
C50410,2024-08-11,Germany,Paid Social,27.0
C50411,2022-12-16,Spain,Organic Search,44.0
C50412,2024-08-12,Spain,Organic Search,30.0
C50413,2022-10-03,Germany,Paid Social,27.0
C50414,2023-10-31,France,Email,49.0
C50415,2023-02-25,Germany,Paid Social,49.0
C50416,2022-08-25,Netherlands,Organic Search,47.0
C50417,2024-09-14,Spain,Organic Search,48.0
C50418,2022-03-27,France,Direct,
C50419,2021-08-24,Germany,Direct,36.0
C50420,2022-12-07,DE,Organic Search,30.0
C50421,2024-03-23,Germany,Email,40.0
C50422,2024-06-26,Austria,Paid Social,32.0
C50423,2024-12-30,Germany,Email,33.0
C50424,2022-09-29,Spain,Email,45.0
C50425,2023-03-12,GERMANY,Direct,52.0
C50426,2021-12-17,Germany,Organic Search,43.0
C50427,2023-10-13,Germany,Paid Social,60.0
C50428,2024-12-29,Germany,Direct,30.0
C50429,2024-03-05,Germany,Organic Search,18.0
C50430,2023-11-06,Netherlands,Organic Search,47.0
C50431,2023-02-18,Germany,Email,29.0
C50432,2024-10-12,Germany,Referral,35.0
C50433,2023-07-08,  Germany ,Email,18.0
C50434,2021-12-12,Germany,Referral,27.0
C50435,2023-01-11,DE,Email,20.0
C50436,2021-07-12,Italy,Organic Search,33.0
C50437,2022-04-22,Germany,Email,33.0
C50438,2021-02-26,Austria,Referral,39.0
C50439,2023-05-13,Austria,Direct,53.0
C50440,2023-12-21,Italy,Organic Search,46.0
C50441,2022-12-09,Germany,Organic Search,19.0
C50442,2023-03-29,Germany,Referral,45.0
C50443,2024-11-23,France,Organic Search,39.0
C50444,2024-04-29,SPAIN,Organic Search,37.0
C50445,2023-09-01,Austria,Referral,38.0
C50446,2022-09-10,France,Paid Social,40.0
C50447,2024-09-24,Germany,Paid Social,30.0
C50448,2022-06-20,AUSTRIA,Organic Search,36.0
C50449,2022-11-12,Spain,Organic Search,52.0
C50450,2024-10-06,Germany,Referral,30.0
C50451,2023-08-18,Netherlands,Paid Social,26.0
C50452,2024-04-19,Germany,Organic Search,37.0
C50453,2023-11-01,France,Paid Social,24.0
C50454,2024-01-12,France,Organic Search,18.0
C50455,2022-10-03,AUSTRIA,Organic Search,34.0
C50456,2022-07-01,Italy,Organic Search,55.0
C50457,2022-11-08,France,Paid Social,38.0
C50458,2022-01-24,Germany,Organic Search,40.0
C50459,2024-09-02,Germany,Paid Social,18.0
C50460,2022-09-08,Germany,Paid Social,43.0
C50461,2023-09-27,Germany,Paid Social,39.0
C50462,2024-06-10,Germany,Organic Search,30.0
C50463,2024-06-02,France,Organic Search,40.0
C50464,2023-04-23,Germany,Organic Search,40.0
C50465,2023-06-12,Germany,Paid Social,25.0
C50466,2024-12-27,  Austria ,Email,42.0
C50467,2024-02-05,Germany,Organic Search,52.0
C50468,2024-07-03,Netherlands,Referral,35.0
C50469,2024-09-29,Spain,Email,28.0
C50470,2024-06-05,France,Organic Search,36.0
C50471,2022-03-22,Germany,Organic Search,48.0
C50472,2023-09-27,Germany,Organic Search,23.0
C50473,2021-10-03,  Netherlands ,Organic Search,
C50474,2024-01-11,France,Paid Social,30.0
C50475,2024-11-19,Germany,Organic Search,
C50476,2023-07-28,France,Referral,
C50477,2023-04-15,France,Paid Social,
C50478,2021-04-20,Germany,Email,56.0
C50479,2024-11-24,Netherlands,Referral,21.0
C50480,2021-10-05,GERMANY,Paid Social,44.0
C50481,2021-05-05,GERMANY,Direct,59.0
C50482,2022-07-09,Austria,Direct,46.0
C50483,2021-07-08,Germany,Paid Social,22.0
C50484,2023-05-15,  Netherlands ,Organic Search,23.0
C50485,2023-08-02,Germany,Paid Social,29.0
C50486,2022-10-24,Germany,Organic Search,40.0
C50487,2021-06-01,Spain,Paid Social,41.0
C50488,2021-10-24,Germany,Paid Social,23.0
C50489,2023-02-07,Germany,Paid Social,28.0
C50490,2021-06-25,Spain,Referral,28.0
C50491,2024-03-02,Austria,Organic Search,36.0
C50492,2022-05-01,Netherlands,Paid Social,62.0
C50493,2022-10-08,Germany,Paid Social,27.0
C50494,2023-02-21,Germany,Referral,26.0
C50495,2023-03-24,NETHERLANDS,Email,24.0
C50496,2021-01-06,Germany,Organic Search,46.0
C50497,2021-10-25,Germany,Email,38.0
C50498,2024-08-21,Austria,Organic Search,27.0
C50499,2021-01-05,GERMANY,Email,
C50500,2023-07-23,Germany,Email,29.0
C50501,2023-06-29,Germany,Paid Social,42.0
C50502,2022-11-24,France,Email,
C50503,2023-04-13,Netherlands,Direct,45.0
C50504,2024-05-29,Spain,Referral,37.0
C50505,2024-07-30,Germany,Paid Social,
C50506,2022-08-01,Germany,Email,22.0
C50507,2022-11-08,FRANCE,Paid Social,47.0
C50508,2022-07-02,Germany,Referral,46.0
C50509,2023-06-16,FRANCE,Referral,32.0
C50510,2024-02-14,Italy,Organic Search,53.0
C50511,2022-06-08,France,Organic Search,38.0
C50512,2022-11-21,Germany,Organic Search,47.0
C50513,2024-10-26,Italy,Organic Search,42.0
C50514,2021-05-25,Germany,Paid Social,
C50515,2023-05-23,Italy,Organic Search,27.0
C50516,2024-03-17,France,Email,36.0
C50517,2022-01-14,France,Organic Search,48.0
C50518,2021-05-22,Italy,Organic Search,32.0
C50519,2021-12-20,France,Email,43.0
C50520,2024-10-15,France,Paid Social,
C50521,2021-01-31,Germany,Paid Social,47.0
C50522,2022-03-28,Netherlands,Referral,42.0
C50523,2021-04-07,France,Direct,24.0
C50524,2021-10-22,Germany,Email,35.0
C50525,2023-12-05,Netherlands,Organic Search,49.0
C50526,2022-07-01,Netherlands,Organic Search,23.0
C50527,2023-10-06,Germany,Direct,25.0
C50528,2023-10-31,  Germany ,Email,37.0
C50529,2024-08-08,France,Referral,64.0
C50530,2021-01-16,Germany,Email,30.0
C50531,2024-08-12,  Germany ,Organic Search,44.0
C50532,2023-12-04,France,Paid Social,41.0
C50533,2022-02-07,Germany,Referral,31.0
C50534,2024-05-21,Germany,Direct,40.0
C50535,2024-08-14,NETHERLANDS,Organic Search,33.0
C50536,2022-07-22,Germany,Email,34.0
C50537,2024-10-15,Italy,Organic Search,18.0
C50538,2023-05-14,SPAIN,Direct,
C50539,2023-11-15,NETHERLANDS,Organic Search,49.0
C50540,2024-12-17,ITALY,Email,39.0
C50541,2023-01-05,Spain,Organic Search,51.0
C50542,2024-07-02,GERMANY,Email,45.0
C50543,2022-11-02,AUSTRIA,Email,37.0
C50544,2024-06-18,Germany,Paid Social,30.0
C50545,2023-11-12,Netherlands,Referral,32.0
C50546,2022-05-18,France,Direct,20.0
C50547,2023-03-21,Germany,Direct,35.0
C50548,2022-11-01,Germany,Paid Social,40.0
C50549,2021-08-08,Italy,Referral,
C50550,2021-04-03,Germany,Email,44.0
C50551,2022-12-14,Germany,Email,28.0
C50552,2021-03-02,Germany,Paid Social,21.0
C50553,2022-02-13,  France ,Email,36.0
C50554,2024-03-31,Spain,Organic Search,48.0
C50555,2024-03-13,Austria,Paid Social,35.0
C50556,2024-04-15,France,Organic Search,45.0
C50557,2022-10-31,DE,Organic Search,36.0
C50558,2024-09-17,Germany,Organic Search,
C50559,2023-11-04,France,Organic Search,19.0
C50560,2021-11-24,Austria,Referral,57.0
C50561,2021-12-31,Austria,Paid Social,25.0
C50562,2024-02-25,Germany,Organic Search,48.0
C50563,2022-02-27,NETHERLANDS,Referral,35.0
C50564,2023-07-22,France,Direct,37.0
C50565,2024-12-24,France,Direct,35.0
C50566,2021-01-14,France,Referral,41.0
C50567,2021-02-23,Netherlands,Direct,43.0
C50568,2024-12-25,France,Email,51.0
C50569,2023-10-24,Italy,Direct,55.0
C50570,2021-11-26,France,Direct,42.0
C50571,2024-09-24,GERMANY,Paid Social,59.0
C50572,2024-09-08,Germany,Direct,39.0
C50573,2023-08-27,France,Referral,51.0
C50574,2023-12-07,France,Referral,43.0
C50575,2022-08-23,France,Direct,31.0
C50576,2021-05-30,Austria,Paid Social,40.0
C50577,2023-11-05,Germany,Paid Social,44.0
C50578,2022-09-26,Netherlands,Email,38.0
C50579,2024-01-24,Netherlands,Referral,43.0
C50580,2024-07-25,Germany,Direct,
C50581,2021-02-28,Germany,Direct,38.0
C50582,2023-11-06,Germany,Email,18.0
C50583,2022-06-13,Germany,Direct,58.0
C50584,2024-09-01,Austria,Organic Search,34.0
C50585,2022-07-21,Spain,Direct,28.0
